1 25 1 20 0
2 30 1 20 0
3 40 1 20 0
4 60 1 20 1
5 80 1 20 1
6 100 2 20 1
7 130 2 20 2
8 150 2 20 2
9 180 2 20 2
10 180 2 20 3
11 210 3 20 3
12 220 3 20 3
13 220 3 20 3
14 230 3 20 3
15 240 3 20 4
16 270 4 20 4
17 280 4 20 4
18 290 4 20 5
19 290 4 20 5
20 300 4 20 5
21 310 4 21 5
22 320 4 22 5
23 330 4 23 6
24 340 4 24 6
25 350 4 25 6
26 360 4 26 6
27 370 4 27 6
28 380 4 28 6
29 390 4 29 7
30 400 4 30 7
31 530 4 31 7
32 680 4 32 7
33 830 4 33 7
34 980 4 34 7
35 1100 4 35 7
36 1400 4 36 7
37 1700 4 37 7
38 2000 4 38 7
39 2300 4 39 7
40 2600 4 40 7
41 3000 4 41 7
42 3300 4 42 7
43 3700 4 43 7
44 4100 4 44 7
45 4500 4 45 7
46 5000 4 46 7
47 5400 4 47 7
48 5900 4 48 7
49 6400 4 49 7
50 7000 4 50 7
51 7500 4 51 7
52 8100 4 52 7
53 8700 4 53 7
54 9300 4 54 7
55 10000 4 55 7
56 11000 4 56 7
57 11000 4 57 7
58 12000 4 58 7
59 13000 4 59 7
60 14000 4 60 7
61 15000 4 61 7
62 15000 4 62 7
63 16000 4 63 7
64 17000 4 64 7
65 18000 4 65 7
66 20000 4 66 7
67 21000 4 67 7
68 22000 4 68 7
69 23000 4 69 7
70 24000 4 70 7
71 26000 4 71 7
72 27000 4 72 7
73 28000 4 73 7
74 30000 4 74 7
75 31000 4 75 7
76 33000 4 76 7
77 35000 4 77 7
78 36000 4 78 7
79 38000 4 79 7
80 40000 4 80 7
