1 0
2 100
3 500
4 1000
5 1500
6 2000
7 2500
8 3000
9 3500
10 4000
11 4500
12 5000
13 5500
14 6000
15 6500
16 7000
17 7500
18 8000
19 8500
20 9000
21 9500
22 10000
23 10500
24 11000
25 11500
26 12000
27 12500
28 13000
29 13500
30 14000
31 14500
32 15000
33 15500
34 16000
35 16500
36 17000
37 17500
38 18000
39 18500
40 19000
41 19500
42 20000
43 21000
44 22000
45 23000
46 24000
47 25000
48 26000
49 27000
50 28000
51 29000
52 30000
53 31000
54 32000
55 33000
56 34000
57 35000
58 36000
59 37000
60 38000
61 39000
62 40000
63 41000
64 42000
65 43000
66 44000
67 45000
68 46000
69 47000
70 48000
71 49000
72 50000
73 51000
74 52000
75 53000
76 54000
77 55000
78 56000
79 57000
80 58000
81 59000
82 60000
83 61000
84 62000
85 63000
86 64000
87 65000
88 66000
89 67000
90 68000
